"filename", "language", "C++", "CMake", "Python", "Ini", "JSON", "comment", "blank", "total"
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\background_object.hpp", "C++", 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\camera.hpp", "C++", 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\collidable.hpp", "C++", 42, 0, 0, 0, 0, 0, 11, 53
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\collision_calculator.hpp", "C++", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\collision_math.hpp", "C++", 41, 0, 0, 0, 0, 0, 9, 50
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\curved_shape.hpp", "C++", 17, 0, 0, 0, 0, 0, 5, 22
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\earcut.hpp", "C++", 741, 0, 0, 0, 0, 66, 145, 952
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\game.hpp", "C++", 36, 0, 0, 0, 0, 0, 9, 45
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\game_object.hpp", "C++", 77, 0, 0, 0, 0, 1, 13, 91
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\ground.hpp", "C++", 12, 0, 0, 0, 0, 0, 4, 16
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\gui_manager.hpp", "C++", 29, 0, 0, 0, 0, 1, 5, 35
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\jump_pad.hpp", "C++", 23, 0, 0, 0, 0, 0, 7, 30
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\music_player.hpp", "C++", 19, 0, 0, 0, 0, 0, 8, 27
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\object_manager.hpp", "C++", 33, 0, 0, 0, 0, 0, 7, 40
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\particle.hpp", "C++", 22, 0, 0, 0, 0, 0, 6, 28
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\physical.hpp", "C++", 46, 0, 0, 0, 0, 0, 8, 54
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\platform.hpp", "C++", 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\player.hpp", "C++", 17, 0, 0, 0, 0, 3, 7, 27
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\primitive_sprite.hpp", "C++", 21, 0, 0, 0, 0, 0, 10, 31
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\randomizer.hpp", "C++", 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\settings.hpp", "C++", 29, 0, 0, 0, 0, 0, 8, 37
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\simple_object.hpp", "C++", 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\sound_player.hpp", "C++", 27, 0, 0, 0, 0, 0, 6, 33
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\timer.hpp", "C++", 21, 0, 0, 0, 0, 0, 9, 30
"c:\Users\twinkboy42\Projects\bounce-tales\src\include\transformable.hpp", "C++", 25, 0, 0, 0, 0, 0, 2, 27
"c:\Users\twinkboy42\Projects\bounce-tales\src\objects\background.cpp", "C++", 57, 0, 0, 0, 0, 4, 8, 69
"c:\Users\twinkboy42\Projects\bounce-tales\src\objects\background_object.cpp", "C++", 33, 0, 0, 0, 0, 0, 4, 37
"c:\Users\twinkboy42\Projects\bounce-tales\src\objects\camera.cpp", "C++", 22, 0, 0, 0, 0, 0, 5, 27
"c:\Users\twinkboy42\Projects\bounce-tales\src\objects\game_object.cpp", "C++", 266, 0, 0, 0, 0, 3, 26, 295
"c:\Users\twinkboy42\Projects\bounce-tales\src\objects\ground.cpp", "C++", 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\twinkboy42\Projects\bounce-tales\src\objects\jump_pad.cpp", "C++", 76, 0, 0, 0, 0, 1, 7, 84
"c:\Users\twinkboy42\Projects\bounce-tales\src\objects\particle.cpp", "C++", 105, 0, 0, 0, 0, 0, 12, 117
"c:\Users\twinkboy42\Projects\bounce-tales\src\objects\platform.cpp", "C++", 37, 0, 0, 0, 0, 2, 6, 45
"c:\Users\twinkboy42\Projects\bounce-tales\src\objects\player.cpp", "C++", 50, 0, 0, 0, 0, 1, 4, 55
"c:\Users\twinkboy42\Projects\bounce-tales\src\objects\simple_object.cpp", "C++", 12, 0, 0, 0, 0, 0, 3, 15
"Total", "-", 3371, 48, 170, 0, 48, 167, 634, 4438
